epoch,accuracy,dice_coef,iou,loss,lr,precision,recall,val_accuracy,val_dice_coef,val_iou,val_loss,val_precision,val_recall
0,0.9603013396263123,0.43013113737106323,0.29215207695961,0.5698689222335815,0.001,0.2265237420797348,0.5369028449058533,0.9876112937927246,0.6198012828826904,0.46459490060806274,0.3808469772338867,0.651317834854126,0.5760851502418518
1,0.9872567653656006,0.6110328435897827,0.4510718882083893,0.38896694779396057,0.001,0.6454322934150696,0.5833916664123535,0.9880098700523376,0.6720514297485352,0.5210423469543457,0.32862719893455505,0.6444141864776611,0.6497973799705505
2,0.989392876625061,0.6786760687828064,0.524115264415741,0.321323961019516,0.001,0.7078893184661865,0.6578965783119202,0.9868518710136414,0.5396528244018555,0.3922165632247925,0.4599705934524536,0.694922685623169,0.39713311195373535
3,0.9906879663467407,0.7168325185775757,0.5683769583702087,0.28316783905029297,0.001,0.7493301033973694,0.6932753324508667,0.9899099469184875,0.6394665241241455,0.5138787627220154,0.36269742250442505,0.8942146301269531,0.4577042758464813
4,0.9915081858634949,0.7437365651130676,0.6008411049842834,0.2562635838985443,0.001,0.7690906524658203,0.7271437048912048,0.9867929220199585,0.3974202275276184,0.2786668837070465,0.5999168753623962,0.9015243649482727,0.24619781970977783
5,0.9919235706329346,0.7552168965339661,0.615286111831665,0.2447836548089981,0.001,0.78395015001297,0.7355155348777771,0.9909747838973999,0.7112084031105042,0.5795633792877197,0.285566508769989,0.8114507794380188,0.6077098250389099
6,0.9923610091209412,0.767946183681488,0.6315301060676575,0.2320542335510254,0.001,0.7981604933738708,0.7471155524253845,0.9900984764099121,0.68602055311203,0.5471320152282715,0.3142871558666229,0.7732667922973633,0.5867423415184021
7,0.9928187727928162,0.7825901508331299,0.650466799736023,0.21740910410881042,0.001,0.8106467127799988,0.762757420539856,0.9909290075302124,0.7698745131492615,0.6373960375785828,0.22979791462421417,0.7030041217803955,0.8030639290809631
8,0.9929224252700806,0.7859746217727661,0.655164897441864,0.21402564644813538,0.001,0.8124703168869019,0.7678238749504089,0.9930102825164795,0.7914543747901917,0.6711995005607605,0.20778204500675201,0.8414644002914429,0.7230517268180847
9,0.9932973980903625,0.7974687218666077,0.6699783802032471,0.202531099319458,0.001,0.8249892592430115,0.7771619558334351,0.9899237751960754,0.6238096356391907,0.48895004391670227,0.3777298629283905,0.885840654373169,0.464198499917984
10,0.9934558272361755,0.8020439743995667,0.6764524579048157,0.1979551613330841,0.001,0.8286901712417603,0.7833437919616699,0.9912834763526917,0.7036349177360535,0.5705425143241882,0.29754117131233215,0.8793683648109436,0.5618200302124023
11,0.9937304854393005,0.8109893202781677,0.6884616613388062,0.1890115588903427,0.001,0.8357648849487305,0.7932470440864563,0.9928584098815918,0.7777779698371887,0.6549445986747742,0.22139789164066315,0.885288655757904,0.663868248462677
12,0.9938070178031921,0.8137573003768921,0.692467987537384,0.1862431764602661,0.001,0.836014986038208,0.7983707189559937,0.9928790926933289,0.7824568748474121,0.6632635593414307,0.21752581000328064,0.8699336647987366,0.6808670163154602
13,0.9940991997718811,0.8223574161529541,0.7041203379631042,0.17764228582382202,0.001,0.847023606300354,0.8038570880889893,0.9927083849906921,0.7898536324501038,0.6686107516288757,0.21017096936702728,0.8243651390075684,0.7230239510536194
14,0.9941902160644531,0.8254096508026123,0.7086556553840637,0.17459028959274292,0.001,0.8476495742797852,0.8094552159309387,0.9908750057220459,0.7238741517066956,0.5936477780342102,0.27568191289901733,0.7933124899864197,0.6228907704353333
